pair_id,n_studies_ss,n_studies_soth,dz_ss_mean,dz_ss_se,dz_ss_ci_low,dz_ss_ci_high,dz_ss_Q,dz_ss_I2,dz_ss_z,p_ss,dz_soth_mean,dz_soth_se,dz_soth_ci_low,dz_soth_ci_high,dz_soth_Q,dz_soth_I2,dz_soth_z,p_soth,kappa_ss,kappa_soth,abs_dz_ss,abs_dz_soth,q_ss,q_soth,rank_score,GeneAName,GeneBName,GeneAKey,GeneBKey
11_110,1,3,-0.6553528878546621,0.20026720118795727,-1.0478693894676954,-0.2628363862416287,0.0,0.0,-3.2723925034513868,0.001066414164603069,-1.0319400934544876,0.1844443396549677,-1.3934443563304972,-0.6704358305784779,4.416966021804276,54.720050140140664,-5.594859107006996,2.2080100192667373e-08,1.0,1.0,0.6553528878546621,1.0319400934544876,0.15126653049833783,3.4377581101807664e-06,1.987209209360318,DHRS9,SULF2,11,110
28_32,1,3,-0.3564146086279911,0.20026720118795727,-0.7489311102410245,0.03610189298504224,7.683176524808813e-32,0.0,-1.7796953595685618,0.07512583031415243,-1.0896408132773674,0.34667129695183657,-1.7691040697767573,-0.4101775567779775,15.567143333780106,87.15242766693054,-3.143152671877396,0.0016713863990400757,1.0,1.0,0.3564146086279911,1.0896408132773674,0.15126653049833783,3.4377581101807664e-06,1.8025303685043148,MS4A4A,CD86,28,32
6_61,1,3,-0.5029853470204603,0.20026720118795727,-0.8955018486334936,-0.11046884540742691,0.0,0.0,-2.5115712609794363,0.012019501599407345,-0.9079984783269043,0.24344963338103845,-1.3851509918032199,-0.4308459648505888,7.66600096558073,73.91077813608791,-3.729717994299619,0.00019169419707254498,1.0,1.0,0.5029853470204603,0.9079984783269043,0.15126653049833783,3.4377581101807664e-06,1.6836116639124596,MTMR11,RAB20,6,61
61_63,1,3,-0.3374975453600525,0.20026720118795727,-0.7300140469730858,0.055018956252980866,7.683176524808813e-32,0.0,-1.6852362411721133,0.09194300146885492,-0.9924400193714197,0.327151996357456,-1.6336461497024124,-0.35123388904042696,13.858611484222925,85.5685398044612,-3.03357470051031,0.002416748702454452,1.0,1.0,0.3374975453600525,0.9924400193714197,0.15126653049833783,3.4377581101807664e-06,1.6530866135098627,RAB20,TTYH2,61,63
22_64,1,3,-0.45418884539433885,0.20026720118795727,-0.8467053470073722,-0.06167234378130548,0.0,0.0,-2.2679142800226577,0.023334431806911526,-0.9132943219925352,0.24739909671530397,-1.3981876413622727,-0.4284010026227979,7.916676357182429,74.73687302897643,-3.691583090311418,0.00022286256496450996,1.0,1.0,0.45418884539433885,0.9132943219925352,0.15126653049833783,3.4377581101807664e-06,1.6478345753918808,RGCC,PLAC8,22,64
11_32,1,3,-0.4640467883748139,0.20026720118795727,-0.8565632899878473,-0.07153028676178053,7.683176524808813e-32,0.0,-2.3171382314335682,0.020496202984364942,-0.8367685695842169,0.16308634653219203,-1.156411935157532,-0.5171252040109018,3.473877747614934,42.427450091669364,-5.130831534196181,2.8846499922075e-07,1.0,1.0,0.4640467883748139,0.8367685695842169,0.15126653049833783,3.4377581101807664e-06,1.5519947527991191,DHRS9,CD86,11,32
12_14,1,3,-0.41243478805972883,0.20026720118795727,-0.8049512896727622,-0.019918286446695466,7.683176524808813e-32,0.0,-2.059422539553271,0.039453778391339345,-0.8621581250781434,0.2068349723719308,-1.2675472216704649,-0.4567690284858219,5.5397205142494474,63.8970956232262,-4.168338241793124,3.0682839037954324e-05,1.0,1.0,0.41243478805972883,0.8621581250781434,0.15126653049833783,3.4377581101807664e-06,1.5411826255599526,ARHGEF10L,CD82,12,14
11_12,1,3,-0.586671351426058,0.20026720118795727,-0.9791878530390914,-0.1941548498130246,0.0,0.0,-2.929443003876845,0.003395700818605407,-0.7520761125877088,0.12117694112333997,-0.9895785529461858,-0.5145736722292318,0.6011173684115381,0.0,-6.206429256389695,5.420199844508033e-10,1.0,1.0,0.586671351426058,0.7520761125877088,0.15126653049833783,3.6781476144831515e-06,1.5388769340386754,DHRS9,ARHGEF10L,11,12
37_64,1,3,0.3629318186775851,0.20026720118795727,-0.029584682935448248,0.7554483202906185,7.683176524808813e-32,0.0,1.8122379327454716,0.0699494402226013,0.883742623542186,0.35066702551673196,0.19644788296360327,1.5710373641207687,15.92918312060146,87.4444283497917,2.520176005257211,0.011729616681069643,1.0,1.0,0.3629318186775851,0.883742623542186,0.15126653049833783,3.4377581101807664e-06,1.5270320204276753,KLF7,PLAC8,37,64
57_64,1,3,0.25839753538546034,0.20026720118795727,-0.13411896622757302,0.6509140369984937,0.0,0.0,1.2902638767241066,0.1969590545079396,0.9488760212968296,0.2540456420124818,0.4509557125230096,1.4467963300706495,8.347864247995624,76.04177618867948,3.735061203097549,0.00018766954034910022,1.0,1.0,0.25839753538546034,0.9488760212968296,0.15126653049833783,3.4377581101807664e-06,1.5238598126207048,CKAP4,PLAC8,57,64
